TITLE     = "Particles in 3D"
VARIABLES = "X" "Y" "Z" "UP" "VP" "WP" "MASS" "WT" "WTD" "DPM" "XN" "YN" "ZN" "SRCNUM"
ZONE T="     0.0 seconds"
I=         1, J=1, K=1,F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE)
    26.401    20.000     1.999    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
ZONE T="  1600.0 seconds"
I=      1600, J=1, K=1,F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE)
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
     0.000     0.000    -0.500    -0.001    -0.001    -0.001  0.6250E-03 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
